"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*DARFIELD","BC"," 51°17'50.400"" N","120°10'57.600"" W","412.0 m","1162265","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Precipitation (mm)","42.8","22.8","25.0","28.6","45.6","54.1","52.1","41.8","35.2","40.0","51.4","45.9","485.1","A"
"Average Snow Depth (cm)","19","14","5","0","0","0","0","0","0","0","3","9","4","C"
"Median Snow Depth (cm)","19","13","4","0","0","0","0","0","0","0","1","8","4","C"
"Snow Depth at Month-end (cm)","20","11","1","0","0","0","0","0","0","0","5","16","4","A"
"Extreme Daily Rainfall (mm)","29.2","24.6","15.2","21.6","29.8","32.2","43.2","53.3","26.9","38.1","24.0","9.2","",""
"Date (yyyy/dd)","1971/29","1977/11","1995/23","1988/17","2005/15","1982/29","1957/14","1956/04","1959/13","1976/10","1992/06","1981/18",""," "
"Extreme Daily Snowfall (cm)","33.0","16.5","8.8","7.0","0.4","0.0","0.0","0.0","0.0","8.2","20.6","27.6","",""
"Date (yyyy/dd)","1982/07","1986/15","1979/29","1979/01","1996/09","1956/01","1956/01","1956/01","1956/01","1991/30","1991/03","1998/27",""," "
"Extreme Daily Precipitation (mm)","33.0","24.6","23.2","21.6","29.8","32.2","43.2","53.3","26.9","38.1","24.0","27.6","",""
"Date (yyyy/dd)","1982/07","1977/11","1995/23","1988/17","2005/15","1982/29","1957/14","1956/04","1959/13","1976/10","1992/06","1998/27",""," "
"Extreme Snow Depth (cm)","60","64","42","12","0","0","0","0","0","8","28","51","",""
"Date (yyyy/dd)","1982/24","1982/16","1982/01","1982/01","1962/02","1962/01","1962/01","1962/01","1962/01","1991/31","1995/11","1984/25",""," "
"Days with Maximum Temperature"
"<= 0 °C","16.1","7.9","1.3","0.0","0.0","0.0","0.0","0.0","0.0","0.42","6.5","18.0","50.1","C"
"> 0 °C","14.9","20.4","29.7","30.0","31.0","30.0","31.0","31.0","30.0","30.6","23.5","13.0","315.1","C"
"> 10 °C","0.19","0.67","13.8","26.5","30.6","30.0","31.0","31.0","29.5","17.5","2.0","0.08","212.8","C"
"> 20 °C","0.0","0.0","0.12","4.1","12.8","22.2","27.4","26.5","13.9","0.88","0.0","0.0","107.8","C"
"> 30 °C","0.0","0.0","0.0","0.0","1.1","2.4","8.0","6.9","0.38","0.0","0.0","0.0","18.7","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.12","0.12","1.0","0.23","0.0","0.0","0.0","0.0","1.5","C"
"Days with Minimum Temperature"
"> 0 °C","1.4","2.5","6.9","18.1","29.2","30.0","31.0","31.0","28.2","19.2","8.5","2.0","208.1","C"
