"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PORT HARDY A","BC"," 50°40'49.000"" N","127°21'58.000"" W","21.6 m","1026270","71109","YZT"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Days with Wind Chill < -40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.7","0.7","0.8","0.8","1.0","1.2","1.3","1.4","1.2","1.0","0.8","0.7","1.0","A"
"Average Relative Humidity - 0600LST (%)","88.5","88.1","88.6","89.2","88.3","88.3","89.3","91.6","93.1","91.7","89.3","88.0","89.5","A"
"Average Relative Humidity - 1500LST (%)","81.8","76.6","72.9","70.0","69.6","72.2","72.6","74.8","77.8","81.1","82.5","82.6","76.2","A"
"Pressure"
"Average Station Pressure (kPa)","101.1","101.2","101.1","101.3","101.4","101.5","101.6","101.5","101.5","101.3","101.0","101.1","101.3","A"
"Average Sea Level Pressure (kPa)","101.4","101.4","101.4","101.6","101.7","101.7","101.9","101.8","101.8","101.6","101.3","101.4","101.6","A"
"Radiation"
"Extreme Global - RF1 (MJ/m2)","7.5","14.0","20.4","26.7","31.1","32.5","31.9","27.6","21.6","15.0","9.1","5.3","",""
"Date (yyyy/dd)","1980/28","1990/25","1998/31","1990/29","1978/31","1990/23","1972/01","1991/05","1985/01","1977/02","1973/02","1972/03",""," "
"Extreme Diffuse - RF2 (MJ/m2)","4.1","9.5","17.3","11.5","17.9","16.3","15.8","17.8","10.6","7.6","4.3","2.9","",""
"Date (yyyy/dd)","1990/30","1990/26","1990/24","1992/23","1991/17","1994/25","1989/08","1990/08","1990/05","1990/01","1979/01","1997/02",""," "
"Visibility (hours with)"
"< 1 km","2.2","4.2","2.2","1.6","4.2","4.2","5.1","16.5","40.6","24.1","5.4","4.2","114.3","C"
"1 to 9 km","42.8","25.5","16.7","11.1","14.9","22.7","31.9","44.4","55.9","60.7","41.4","37.4","405.4","C"
"> 9 km","699.0","649.3","725.2","707.3","724.9","693.1","707.0","683.2","623.5","659.3","673.2","702.4","8247.3","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","78.7","101.3","101.9","102.1","114.3","94.3","143.5","144.6","155.0","103.9","76.2","86.7","1302.5","C"
"3 to 7 tenths","102.6","115.3","140.7","150.2","156.2","140.7","157.2","176.4","152.5","140.3","118.2","127.6","1678.0","C"
"8 to 10 tenths","562.7","462.3","501.4","467.7","473.5","485.0","443.3","423.0","412.5","499.8","525.7","529.7","5786.5","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","April     17","A"
"Average Date of First Fall Frost","October   31","A"
"Average Length of Frost-Free Period","196 Days","A"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 15","May 05","May 03","Apr 24","Apr 18","Apr 15","Apr 05"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Oct 07","Oct 16","Oct 18","Oct 27","Nov 04","Nov 08","Nov 17"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","155","166","170","182","194","199","215"
