"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PENTICTON A","BC"," 49°27'47.000"" N","119°36'08.000"" W","344.4 m","1126150","71889","YYF"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Days with Winds >= 52 km/h","0.7","0.8","0.4","0.2","0.1","0.1","0.1","0.1","0.1","0.7","1.1","0.6","4.9","A"
"Days with Winds >= 63 km/h","0.1","0.1","0.1","0.0","0.0","0.0","0.1","0.0","0.0","0.2","0.2","0.1","1.0","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","1.4","8.8","4.5","0.1","0.0","0.0","0.0","14.7","A"
"Above 18 °C","0.0","0.0","0.0","0.0","7.5","35.1","102.1","84.8","9.6","0.1","0.0","0.0","239.2","A"
"Above 15 °C","0.0","0.0","0.0","1.0","29.4","90.8","186.6","167.1","41.3","1.5","0.0","0.0","517.7","A"
"Above 10 °C","0.0","0.0","1.6","26.4","126.7","230.7","340.7","321.0","157.2","27.8","1.7","0.1","1233.8","A"
"Above 5 °C","2.2","6.0","38.2","127.9","275.9","380.6","495.7","476.0","304.3","126.9","27.5","2.4","2263.4","A"
"Above 0 °C","46.6","63.7","159.8","274.9","430.9","530.6","650.7","631.0","454.3","273.1","118.4","39.3","3673.0","A"
"Below 0 °C","62.9","36.3","5.5","0.0","0.0","0.0","0.0","0.0","0.0","1.1","20.5","74.4","200.6","A"
"Below 5 °C","173.6","119.8","38.9","3.0","0.0","0.0","0.0","0.0","0.0","9.8","79.7","192.5","617.2","A"
"Below 10 °C","326.4","254.9","157.3","51.5","5.9","0.1","0.0","0.0","2.9","65.8","203.9","345.2","1413.8","A"
"Below 15 °C","481.4","396.1","310.7","176.1","63.6","10.2","1.0","1.1","37.0","194.5","352.2","500.1","2523.9","A"
"Below 18 °C","574.4","480.8","403.7","265.1","134.7","44.5","9.5","11.8","95.3","286.0","442.2","593.1","3341.1","A"
"Evaporation"
"Lake Evaporation (mm)","","","","3.2","4.3","5.0","5.1","4.5","3.1","1.6","","","",""
"Bright Sunshine"
"Total Hours","35.0","81.4","144.3","189.7","234.3","237.3","287.9","279.7","212.3","135.0","53.0","33.7","1923.3","C"
"Days with measurable","15.5","21.7","28.1","28.7","29.6","28.7","30.3","30.5","29.2","27.7","19.1","14.8","303.6","C"
"% of possible daylight hours","13.0","28.6","39.2","46.1","49.3","48.8","58.7","62.6","56.0","40.3","19.3","13.2","39.6","C"
"Extreme Daily","6.8","9.0","10.6","13.0","14.6","14.3","14.6","13.5","11.5","10.5","7.7","5.9","",""
"Date (yyyy/dd)","1980/30","1990/28","1980/30","1976/29","1999/25","1972/29","1998/21","1977/01","1995/01","2001/03","1995/01","1986/02",""," "
"Humidex"
"Extreme Humidex","14.1","15.9","21.1","29.4","34.7","40.3","42.1","41.1","36.2","27.1","18.9","14.1","",""
"Date (yyyy/dd)","1989/30","1988/21","1966/29","1987/27","1986/30","1961/18","1961/13","1998/04","2009/01","1980/06","1975/03","1980/27",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","1.3","4.3","14.3","13.0","1.0","0.0","0.0","0.0","34.0","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.0","0.5","3.6","2.6","0.1","0.0","0.0","0.0","6.8","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","0.0","0.0","0.0","0.0","0.3","A"
"Wind Chill"
"Extreme Wind Chill","-32.6","-34.0","-27.8","-9.4","-10.1","0.0","0.0","0.0","-6.0","-21.2","-34.0","-39.7","",""
"Date (yyyy/dd)","1969/28","1956/15","1955/03","1973/07","1954/01","1953/01","1953/01","1953/01","1965/28","1984/31","1985/27","1968/29",""," "
"Days with Wind Chill < -20","1.1","0.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.7","4.2","A"
"Days with Wind Chill < -30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.3","A"
"Days with Wind Chill < -40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.5","0.5","0.6","0.6","0.9","1.1","1.2","1.2","1.0","0.8","0.6","0.5","0.8","A"
"Average Relative Humidity - 0600LST (%)","77.4","78.2","75.6","73.0","69.7","65.7","61.8","66.7","74.0","75.2","76.2","76.6","72.5","A"
"Average Relative Humidity - 1500LST (%)","71.2","61.8","48.7","39.9","39.2","39.2","35.1","35.8","41.4","52.0","65.5","71.0","50.1","A"
"Pressure"
"Average Station Pressure (kPa)","97.8","97.7","97.5","97.4","97.3","97.3","97.4","97.4","97.5","97.6","97.6","97.9","97.5","A"
"Average Sea Level Pressure (kPa)","102.1","102.0","101.6","101.5","101.4","101.3","101.4","101.4","101.6","101.8","101.8","102.1","101.7","A"
"Visibility (hours with)"
