"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*KAMLOOPS A","BC"," 50°42'08.000"" N","120°26'31.000"" W","345.3 m","1163780","71887","YKA"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Direction of Maximum Gust","SW","N","N","NW","S","S","S","S","W","SW","SW","W","N",""
"Days with Winds >= 52 km/h","0.5","0.3","0.3","0.4","0.4","0.2","0.5","0.4","0.1","0.5","0.4","0.4","4.5","A"
"Days with Winds >= 63 km/h","0.2","0.1","0.1","0.1","0.0","0.1","0.1","0.1","0.0","0.1","0.0","0.1","1.1","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.1","2.9","14.6","8.2","0.3","0.0","0.0","0.0","26.0","A"
"Above 18 °C","0.0","0.0","0.0","0.2","12.6","47.1","118.1","99.6","15.0","0.4","0.0","0.0","292.9","A"
"Above 15 °C","0.0","0.0","0.0","3.2","40.4","110.6","203.6","183.2","51.2","2.3","0.0","0.0","594.5","A"
"Above 10 °C","0.1","0.1","3.2","40.3","147.6","253.7","357.9","337.2","169.2","27.7","1.9","0.0","1338.9","A"
"Above 5 °C","2.6","7.4","47.3","151.4","298.3","403.6","512.9","492.2","316.1","121.4","22.6","2.4","2378.2","A"
"Above 0 °C","33.4","59.2","170.1","298.9","453.2","553.6","667.9","647.2","466.1","266.1","99.8","29.9","3745.5","A"
"Below 0 °C","118.0","55.3","9.4","0.0","0.0","0.0","0.0","0.0","0.0","2.1","35.9","109.2","330.0","A"
"Below 5 °C","242.2","144.6","41.6","2.6","0.0","0.0","0.0","0.0","0.0","12.4","108.8","236.6","788.9","A"
"Below 10 °C","394.7","278.5","152.5","41.5","4.4","0.1","0.0","0.0","3.1","73.7","238.1","389.2","1575.7","A"
"Below 15 °C","549.6","419.6","304.3","154.4","52.2","7.0","0.7","0.9","35.1","203.4","386.2","544.2","2657.5","A"
"Below 18 °C","642.6","504.3","397.3","241.4","117.4","33.5","8.3","10.3","88.9","294.4","476.2","637.2","3451.6","A"
"Bright Sunshine"
"Total Hours","55.2","95.6","165.3","202.8","251.6","252.0","303.4","289.5","223.3","130.9","63.7","46.6","2079.8","C"
"Days with measurable","19.1","23.2","28.8","28.8","30.2","28.9","30.3","30.7","29.0","28.4","20.8","18.2","316.2","C"
"% of possible daylight hours","20.9","33.9","45.0","49.0","52.4","51.2","61.2","64.3","58.7","39.2","23.5","18.6","43.2","C"
"Extreme Daily","8.2","10.3","12.4","14.0","15.8","15.7","15.7","14.5","13.6","10.9","8.8","7.0","",""
"Date (yyyy/dd)","1970/15","1958/28","1991/27","1954/30","1995/27","1951/15","1951/16","1951/01","1995/01","1966/02","1957/01","1995/01",""," "
"Humidex"
"Extreme Humidex","15.8","17.0","23.3","31.9","36.8","39.0","47.4","40.3","38.4","31.2","22.8","15.0","",""
"Date (yyyy/dd)","1989/30","1991/19","2004/29","1987/27","1983/29","2008/29","1957/21","1981/11","1988/04","1980/06","1975/04","1958/31",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","0.0","1.8","4.2","13.5","12.9","2.3","0.0","0.0","0.0","34.7","A"
"Days with Humidex >= 35","0.0","0.0","0.0","0.0","0.3","0.9","4.2","3.7","0.1","0.0","0.0","0.0","9.1","A"
"Days with Humidex >= 40","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.2","A"
"Wind Chill"
"Extreme Wind Chill","-42.0","-36.7","-33.9","-13.0","-5.2","0.0","0.0","0.0","-6.5","-23.2","-39.1","-45.1","",""
"Date (yyyy/dd)","1969/29","1989/01","1955/04","2008/19","1954/01","1953/01","1953/01","1953/01","1972/27","1984/31","1985/26","1968/30",""," "
"Days with Wind Chill < -20","3.6","1.3","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.1","3.1","9.4","A"
"Days with Wind Chill < -30","0.8","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.9","2.1","A"
"Days with Wind Chill < -40","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Humidity"
"Average Vapour Pressure (kPa)","0.4","0.5","0.5","0.6","0.8","1.0","1.2","1.2","1.0","0.8","0.6","0.4","0.8","A"
"Average Relative Humidity - 0600LST (%)","81.7","79.8","75.3","69.8","68.0","66.7","65.4","69.3","77.5","80.5","80.3","79.8","74.5","A"
"Average Relative Humidity - 1500LST (%)","72.6","60.0","43.0","35.6","36.2","36.4","33.5","34.4","41.4","52.9","65.9","70.9","48.6","A"
"Pressure"
"Average Station Pressure (kPa)","97.7","97.6","97.4","97.3","97.3","97.2","97.3","97.3","97.5","97.6","97.5","97.8","97.5","A"
"Average Sea Level Pressure (kPa)","102.0","101.9","101.6","101.5","101.4","101.3","101.4","101.4","101.6","101.7","101.7","102.1","101.6","A"
"Visibility (hours with)"
"< 1 km","10.5","3.0","0.7","0.1","0.0","0.0","0.0","0.0","0.1","2.1","3.1","2.1","21.7","C"
"1 to 9 km","64.8","31.7","8.4","0.9","0.8","0.9","0.3","2.2","1.3","17.1","25.0","57.1","210.4","C"
"> 9 km","668.7","642.6","734.9","719.1","743.2","719.1","743.7","741.8","718.6","724.8","691.9","684.7","8533.2","C"
"Cloud Amount (hours with)"
"0 to 2 tenths","74.2","123.5","188.9","164.0","166.4","137.1","240.2","276.4","241.1","170.0","98.8","71.7","1952.2","C"
"3 to 7 tenths","119.9","139.1","182.2","197.7","221.7","233.8","237.6","230.9","198.8","171.3","128.5","118.9","2180.3","C"
"8 to 10 tenths","550.0","414.7","373.0","358.3","355.9","349.1","266.1","236.8","280.1","402.7","492.7","553.4","4632.8","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","April     24","C"
"Average Date of First Fall Frost","October   10","C"
"Average Length of Frost-Free Period","169 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","May 15","May 09","May 03","Apr 30","Apr 25","Apr 22","Apr 13"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Sep 21","Sep 28","Oct 03","Oct 06","Oct 10","Oct 12","Oct 20"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","138","148","151","158","162","172","181"
