"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PRINCETON A","BC"," 49°28'04.000"" N","120°30'45.000"" W","701.7 m","1126510","","YDC"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Maximum Gust Speed (km/h)","67.0","59.0","57.0","74.0","70.0","67.0","78.0","67.0","59.0","56.0","54.0","100.0","100.0",""
"Date (yyyy/dd)","1980/12","1979/13","1979/12","1981/05","1979/26","1981/10","1981/17","1979/22","1978/30","1978/11","1978/08","1979/14","1979/14"," "
"Direction of Maximum Gust","W","W","W","SW","W","W","SW","SW","W","W","NE","N","N",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","1.6","0.7","0.0","0.0","0.0","0.0","2.3","C"
"Above 18 °C","0.0","0.0","0.0","0.0","2.9","10.5","40.8","39.6","4.2","0.0","0.0","0.0","97.8","C"
"Above 15 °C","0.0","0.0","0.0","0.2","12.7","38.8","101.2","99.4","23.1","0.2","0.0","0.0","275.6","C"
"Above 10 °C","0.0","0.0","0.1","9.8","69.1","148.0","245.8","244.4","109.0","12.7","0.1","0.0","838.9","C"
"Above 5 °C","0.1","0.3","13.3","77.8","195.7","295.3","400.8","399.3","246.3","80.5","5.1","0.0","1714.5","C"
"Above 0 °C","9.4","22.7","102.9","214.5","349.9","445.3","555.8","554.3","396.1","214.1","51.1","5.0","2920.9","C"
