"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*FORT NELSON A","BC"," 58°50'11.000"" N","122°35'50.000"" W","381.9 m","1192940","71945","YYE"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Average Relative Humidity - 1500LST (%)","71.3","63.6","50.8","41.3","42.0","45.2","50.5","51.6","53.8","66.3","77.9","75.2","57.5","A"
"Pressure"
"Average Station Pressure (kPa)","96.9","97.0","96.9","96.8","96.8","96.6","96.7","96.8","96.7","96.6","96.6","96.8","96.8","A"
"Average Sea Level Pressure (kPa)","101.8","101.9","101.7","101.4","101.4","101.2","101.3","101.3","101.3","101.3","101.5","101.7","101.5","A"
"Radiation"
"Global - RF1 (MJ/m2)","","","321.0","","606.0","","712.4","","337.0","129.4","","","",""
"Extreme Global - RF1 (MJ/m2)","4.8","10.1","17.4","24.7","30.1","31.1","30.2","27.1","18.8","11.6","6.4","2.6","",""
"Date (yyyy/dd)","1972/31","1982/28","1977/31","1975/29","1979/28","1975/12","1972/06","1978/01","1979/01","1973/01","1973/04","1971/03",""," "
"Visibility (hours with)"
"< 1 km","5.6","2.5","4.1","3.4","5.3","3.4","7.3","16.0","18.3","33.8","10.1","9.2","118.9","D"
"1 to 9 km","104.0","62.4","76.1","36.2","35.9","14.3","21.7","44.9","37.4","91.1","109.1","91.9","724.8","D"
"> 9 km","634.4","612.2","663.8","680.4","702.9","702.4","715.0","683.1","664.3","619.1","600.8","642.9","7921.3","D"
"Cloud Amount (hours with)"
