"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*CASTLEGAR A","BC"," 49°17'47.000"" N","117°37'57.000"" W","495.6 m","1141455","","YCG"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Days with Winds >= 52 km/h","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"Days with Winds >= 63 km/h","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.4","5.1","2.2","0.0","0.0","0.0","0.0","7.8","A"
"Above 18 °C","0.0","0.0","0.0","0.0","6.2","26.7","83.5","76.9","9.1","0.0","0.0","0.0","202.4","A"
"Above 15 °C","0.0","0.0","0.0","0.5","25.3","74.0","162.6","156.4","37.2","0.5","0.0","0.0","456.4","A"
"Above 10 °C","0.0","0.0","0.3","21.3","111.0","205.6","314.6","309.2","145.1","18.5","0.2","0.0","1125.8","A"
"Above 5 °C","0.1","1.0","25.0","118.2","255.6","355.2","469.6","464.2","290.2","104.2","12.7","0.2","2096.2","A"
"Above 0 °C","25.6","41.3","140.1","265.2","410.6","505.2","624.6","619.2","440.2","248.3","85.3","19.9","3425.5","A"
"Below 0 °C","76.5","45.2","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","23.2","84.7","235.7","A"
"Below 5 °C","206.0","146.0","44.9","3.0","0.0","0.0","0.0","0.0","0.0","12.1","100.6","220.0","732.5","A"
"Below 10 °C","361.0","286.1","175.2","56.1","10.3","0.5","0.0","0.0","4.9","81.3","238.1","374.7","1588.2","A"
"Below 15 °C","516.0","427.2","329.9","185.3","79.7","18.8","3.0","2.1","47.0","218.3","387.9","529.7","2744.9","A"
"Below 18 °C","609.0","511.9","422.9","274.8","153.6","61.5","16.9","15.7","108.9","310.8","477.9","622.7","3586.6","A"
"Bright Sunshine"
"Total Hours","38.9","76.1","128.8","173.8","226.7","233.0","291.9","276.3","204.0","123.2","48.2","33.4","1854.2","C"
